,Country,Date,Cases,Year,Pop_den,GNI_per_cap,GDP_per_cap,Month
0,Guinea,2015-03-10,3285.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
1,Guinea,2015-03-06,3248.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
2,Guinea,2015-03-05,3237.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
3,Guinea,2015-03-04,3205.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
4,Guinea,2015-03-02,3205.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
5,Guinea,2015-02-27,3190.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
6,Guinea,2015-02-26,3175.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
7,Guinea,2015-02-25,3155.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
8,Guinea,2015-02-23,3155.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
9,Guinea,2015-02-20,3120.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
10,Guinea,2015-02-19,3115.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
11,Guinea,2015-02-18,3108.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
12,Guinea,2015-02-17,3108.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
13,Guinea,2015-02-16,3101.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
14,Guinea,2015-02-13,3081.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
15,Guinea,2015-02-12,3068.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
16,Guinea,2015-02-11,3044.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
17,Guinea,2015-02-10,3044.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
18,Guinea,2015-02-06,2988.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
19,Guinea,2015-02-05,2986.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
20,Guinea,2015-02-04,2975.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
21,Guinea,2015-02-03,2975.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
22,Guinea,2015-02-02,2959.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
23,Guinea,2015-01-30,2920.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
24,Guinea,2015-01-29,2921.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
25,Guinea,2015-01-28,2917.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
26,Guinea,2015-01-27,2917.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
27,Guinea,2015-01-26,2909.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
28,Guinea,2015-01-23,2873.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
29,Guinea,2015-01-22,2873.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
30,Guinea,2015-01-21,2871.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
31,Guinea,2015-01-20,2871.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
32,Guinea,2015-01-19,2873.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
33,Guinea,2015-01-16,2825.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
34,Guinea,2015-01-15,2817.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
35,Guinea,2015-01-14,2806.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
36,Guinea,2015-01-13,2799.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
37,Guinea,2015-01-12,2799.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
38,Guinea,2015-01-09,2793.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
39,Guinea,2015-01-08,2776.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
40,Guinea,2015-01-07,2775.0,2015,46.5248901188344,619.473480041721,769.255475432822,3
