Country,Date,Cases,Year,Pop_den,GDP_per_cap,Months_diff
Guinea,2014-08-29,648.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-05,812.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-08,862.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-12,861.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-16,936.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-18,942.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-22,1008.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-24,1022.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-09-26,1074.0,2014,45.3807992837376,759.587862412066,1
Guinea,2014-10-01,1157.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-03,1199.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-08,1298.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-10,1350.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-15,1472.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-17,1519.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-22,1540.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-25,1553.0,2014,45.3807992837376,759.587862412066,2
Guinea,2014-10-29,1906.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-10-31,1667.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-05,1731.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-07,1760.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-12,1878.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-14,1919.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-19,1971.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-21,2047.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-11-26,2134.0,2014,45.3807992837376,759.587862412066,3
Guinea,2014-12-01,2155.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-03,2164.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-10,2292.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-15,2394.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-17,2416.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-22,2571.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-23,2597.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-24,2597.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-26,2630.0,2014,45.3807992837376,759.587862412066,4
Guinea,2014-12-29,2695.0,2014,45.3807992837376,759.587862412066,5
Guinea,2014-12-30,2706.0,2014,45.3807992837376,759.587862412066,5
Guinea,2014-12-31,2707.0,2014,45.3807992837376,759.587862412066,5
Guinea,2015-01-02,2730.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-05,2769.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-06,2775.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-07,2775.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-08,2776.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-09,2793.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-12,2799.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-13,2799.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-14,2806.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-15,2817.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-16,2825.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-19,2873.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-20,2871.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-21,2871.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-22,2873.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-23,2873.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-26,2909.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-27,2917.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-28,2917.0,2015,46.5248901188344,769.255475432822,5
Guinea,2015-01-29,2921.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-01-30,2920.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-02,2959.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-03,2975.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-04,2975.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-05,2986.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-06,2988.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-10,3044.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-11,3044.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-12,3068.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-13,3081.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-16,3101.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-17,3108.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-18,3108.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-19,3115.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-20,3120.0,2015,46.5248901188344,769.255475432822,6
Guinea,2015-02-23,3155.0,2015,46.5248901188344,769.255475432822,6
